,0.75
1,0.279
0.9784,0.197
0.9479,0.156
0.9184,0.111
0.8786,0.045
0.8385,-0.031
0.7982,-0.111
0.7494,-0.206
0.6993,-0.317
0.6493,-0.617
0.5993,-1.159
0.5493,-1.163
0.4996,-1.184
0.4492,-1.229
0.3993,-1.22
0.3497,-1.214
0.2998,-1.207
0.2498,-1.207
0.1995,-1.215
0.1649,-1.227
0.13,-1.254
0.0998,-1.292
0.0748,-1.327
0.06,-1.32
0.0499,-1.296
0.0397,-1.246
0.0299,-1.197
0.0207,-0.704
0.0124,-0.039
0.0033,0.787
0,1.142
0.0018,0.997
0.0079,0.552
0.018,0.08
0.037,-0.203
0.065,-0.287
0.1,-0.357
0.13,-0.365
0.1649,-0.407
0.2,-0.457
0.2499,-0.467
0.2998,-0.522
0.3499,-0.524
0.3999,-0.579
0.4497,-0.572
0.4998,-0.493
0.5496,-0.347
0.5996,-0.086
0.6393,-0.052
0.6791,0.065
0.7193,0.159
0.7597,0.238
0.7994,0.32
0.8377,0.382
0.8785,0.405
0.9188,0.41
0.9487,0.41
0.9781,0.361
