,0.34
0.9746,0.075539568
0.92,0.021582734
0.8996,0.003597122
0.7995,-0.068345324
0.7501,-0.122302158
0.6999,-0.167266187
0.6499,-0.212230216
0.5996,-0.26618705
0.5497,-0.284172662
0.4998,-0.338129496
0.4497,-0.392086331
0.4001,-0.482014388
0.3499,-0.616906475
0.2999,-0.787769784
0.2498,-0.931654676
0.1995,-1.165467626
0.1494,-1.408273381
0.0997,-1.723021583
0.0667,-2.145683453
0.0497,-2.487410072
0.0297,-3.071942446
0.0096,-4.654676259
0,-1.561151079
0.0095,1.100719424
0.0297,0.929856115
0.0493,0.723021583
0.0664,0.606115108
0.0995,0.45323741
0.1501,0.327338129
0.2002,0.273381295
0.2498,0.21942446
0.3004,0.192446043
0.3501,0.183453237
0.4001,0.21942446
0.45,0.237410072
0.5002,0.174460432
0.5502,0.192446043
0.6001,0.201438849
0.6502,0.201438849
0.7001,0.237410072
0.7504,0.165467626
0.8003,0.15647482
0.9,0.165467626
0.9203,0.165467626
0.9752,0.084532374
