,0.74
0.9746,0.097246892
0.92,0.089253996
0.8996,0.089253996
0.7995,0.077264654
0.7501,0.057282416
0.6999,0.04928952
0.6499,0.04928952
0.5996,0.03330373
0.5497,0.03330373
0.4998,0.01731794
0.4497,0.009325044
0.4001,-0.014653641
0.3499,-0.070603908
0.2999,-0.122557726
0.2498,-0.142539964
0.1995,-0.162522202
0.1494,-0.15053286
0.0997,-0.070603908
0.0667,0.041296625
0.0497,0.125222025
0.0297,0.31705151
0.0096,0.772646536
0,1.064387211
0.0095,-0.662078153
0.0297,-1.077708703
0.0493,-1.24955595
0.0664,-1.301509769
0.0995,-1.377442274
0.1501,-1.453374778
0.2002,-1.497335702
0.2498,-0.945825933
0.3004,-0.877886323
0.3501,-0.825932504
0.4001,-0.73401421
0.45,-0.598134991
0.5002,-0.434280639
0.5502,-0.278419183
0.6001,-0.174511545
0.6502,-0.102575488
0.7001,-0.054618117
0.7504,-0.034635879
0.8003,0.001332149
0.9,0.041296625
0.9203,0.053285968
0.9752,0.061278863
