,0.34,0.44,0.49,0.49
0.9752,0.192771084,0.04043169,-0.018107432,-0.020807346
0.9203,0.081556997,-0.043258116,-0.05923757,-0.048714066
0.9,0.063021316,-0.04344285,-0.066073419,-0.087025661
0.8003,-0.020389249,-0.099824666,-0.129999812,-0.133432611
0.7504,-0.075996293,-0.155733781,-0.142993375,-0.161495704
0.7001,-0.131603336,-0.174701587,-0.194265273,-0.199193833
0.6502,-0.168674699,-0.212131898,-0.236073546,-0.246635256
0.6001,-0.252085264,-0.268046446,-0.316838289,-0.293980448
0.5502,-0.289156627,-0.314718876,-0.339041177,-0.341385785
0.5002,-0.372567192,-0.370627991,-0.390821676,-0.369400763
0.45,-0.428174235,-0.435790093,-0.461529426,-0.445795408
0.4001,-0.539388323,-0.528667684,-0.571532714,-0.560910625
0.3501,-0.687673772,-0.658519185,-0.661761082,-0.666330663
0.3004,-0.854494903,-0.788370687,-0.791200221,-0.771738673
0.2498,-1.021316033,-0.955185231,-0.939905679,-0.925550406
0.2002,-1.28081557,-1.195936728,-1.195338786,-1.166354119
0.1501,-1.58665431,-1.44594121,-1.489728364,-1.494209957
0.0995,-1.966635774,-1.899277746,-1.891099894,-1.928448134
0.0664,-2.420759963,-2.398651009,-2.430980627,-2.48872364
0.0493,-2.856348471,-2.916361811,-2.836760037,-2.875207646
0.0297,-3.588507878,-3.896211166,-3.592130478,-3.590533848
0.0095,-5.794253939,-5.023934426,-3.97813497,-4.083400193
0,-2.22613531,-1.253225912,-0.672514376,-0.785343199
0.0096,1.036144578,1.075875027,1.094961392,1.110028256
0.0297,0.962001854,0.918954603,0.897720798,0.896890686
0.0497,0.776645042,0.761996146,0.700988807,0.72247369
0.0667,0.665430955,0.65127545,0.562903438,0.606095453
0.0997,0.498609824,0.457478917,0.441371844,0.460367046
0.1494,0.368860056,0.337809504,0.32752377,0.314265747
0.1995,0.294717331,0.264328952,0.233111547,0.245629651
0.2498,0.27618165,0.209343505,0.206809572,0.196275656
0.2999,0.220574606,0.209778173,0.180846664,0.175959083
0.3499,0.192771084,0.173287831,0.174065308,0.155726711
0.4001,0.257645968,0.210707275,0.196352962,0.174082597
0.4497,0.239110287,0.211158242,0.189402072,0.182827504
0.4998,0.202038925,0.193152139,0.182705483,0.152863867
0.5497,0.239110287,0.193597673,0.166036667,0.16154863
0.5996,0.239110287,0.175602436,0.168888469,0.160562272
0.6499,0.248378128,0.185279222,0.181458197,0.159599972
0.6999,0.239110287,0.167278552,0.14535353,0.139283399
0.7501,0.239110287,0.140024896,0.138826474,0.128625919
0.7995,0.239110287,0.14047043,0.122242425,0.127663618
0.8996,0.211306766,0.104436489,0.088904793,0.087042501
0.92,0.239110287,0.113868775,0.076898159,0.096340731
0.9746,0.192771084,0.049668376,0.001158885,0.008206019
