,0.34,0.39,0.43
0.9752,0.167938931,-0.49047619,-0.129639081
0.9203,0.101145038,-0.516326531,-0.166273106
0.9,0.053435115,-0.529251701,-0.203621665
0.8003,-0.013358779,-0.568027211,-0.239382371
0.7504,-0.061068702,-0.645578231,-0.257257053
0.7001,-0.146946565,-0.684353741,-0.322324979
0.6502,-0.185114504,-0.710204082,-0.330797306
0.6001,-0.270992366,-0.774829932,-0.405290271
0.5502,-0.290076336,-0.787755102,-0.423164953
0.5002,-0.385496183,-0.839455782,-0.497646576
0.45,-0.461832061,-0.878231293,-0.534382677
0.4001,-0.576335878,-0.994557823,-0.637150758
0.3501,-0.719465649,-1.085034014,-0.721046077
0.3004,-0.919847328,-1.175510204,-0.842596184
0.2498,-1.082061069,-1.343537415,-1.001914496
0.2002,-1.358778626,-1.537414966,-1.227140028
0.1501,-1.711832061,-1.860544218,-1.471261004
0.0995,-2.188931298,-2.28707483,-1.866182598
0.0664,-2.732824427,-2.855782313,-2.289696879
0.0493,-3.200381679,-3.191836735,-2.60981928
0.0297,-4.040076336,-3.941496599,-3.240922588
0.0095,-7.408396947,-5.427891156,-4.578915134
0,-3.34351145,-2.519727891,-1.534446191
0.0096,0.950381679,0.569387755,1.076130721
0.0297,1.083969466,0.569387755,0.981494714
0.0497,0.93129771,0.414285714,0.811492423
0.0667,0.835877863,0.272108844,0.69808573
0.0997,0.625954198,0.155782313,0.546649972
0.1494,0.511450382,0.013605442,0.394873959
0.1995,0.396946565,-0.076870748,0.299670861
0.2498,0.368320611,-0.115646259,0.242213285
0.2999,0.311068702,-0.167346939,0.213008141
0.3499,0.301526718,-0.193197279,0.202619049
0.4001,0.349236641,-0.141496599,0.229964137
0.4497,0.349236641,-0.154421769,0.200770335
0.4998,0.311068702,-0.206122449,0.180967547
0.5497,0.330152672,-0.206122449,0.180037519
0.5996,0.301526718,-0.231972789,0.150809691
0.6499,0.311068702,-0.206122449,0.168718399
0.6999,0.301526718,-0.270748299,0.14891561
0.7501,0.291984733,-0.283673469,0.119699125
0.7995,0.282442748,-0.270748299,0.118757755
0.8996,0.244274809,-0.32244898,0.050888403
0.92,0.282442748,-0.33537415,0.022216324
0.9746,0.167938931,-0.45170068,-0.035377353
