,0.63
0.95,0.049092781
0.9,0.048771008
0.85,-0.003127766
0.8,-0.067913006
0.75,-0.100458727
0.7,-0.178156383
0.65,-0.259025053
0.6,-0.320587379
0.55,-0.378937171
0.5,-0.421125684
0.45,-0.469785975
0.4,-0.482999403
0.35,-0.557453385
0.3,-0.728584403
0.25,-1.025424633
0.2,-1.319026379
0.15,-2.041296431
0.1,-2.115734843
0.075,-2.070764555
0.05,-1.942024456
0.025,-0.791599895
0.013,-0.630547619
0,0.958281459
0.01,0.848790614
0.025,0.620036387
0.05,0.481617166
0.075,0.41411243
0.1,0.35948378
0.15,0.288896257
0.2,0.247320149
0.25,0.192857575
0.3,0.141607536
0.35,0.103259531
0.4,0.077803183
0.45,0.039439609
0.5,0.052647847
0.55,0.062617601
0.6,0.05972165
0.65,0.06648925
0.7,0.060375574
0.75,0.054241139
0.8,0.054573291
0.85,0.054900253
0.9,0.061683423
0.95,0.071663558
