,0.78
0.95,0.140996089
0.9,0.120198459
0.85,0.060023054
0.8,0.009823638
0.75,-0.063433844
0.7,-0.110452003
0.65,-0.190203543
0.6,-0.27001146
0.55,-0.320304837
0.5,-0.35094691
0.45,-0.414172026
0.4,-0.412080719
0.35,-0.364117579
0.3,-0.342318592
0.25,-0.346758928
0.2,-0.377419793
0.15,-0.375253318
0.1,-0.681013639
0.075,-0.642312384
0.05,-0.48894094
0.025,-0.021148642
0.013,0.293084292
0,1.065734885
0.01,-0.552053303
0.025,-0.564853496
0.05,-0.397197273
0.075,-0.311477858
0.1,-0.284693561
0.15,-0.240969411
0.2,-0.210383714
0.25,-0.219006663
0.3,-0.230979998
0.35,-0.262510675
0.4,-0.261345557
0.45,
0.5,-0.216606627
0.55,-0.166256873
0.6,-0.125826732
0.65,-0.098535045
0.7,-0.077737415
0.75,-0.043857709
0.8,-0.019728486
0.85,0.014170013
0.9,0.051475274
0.95,0.078748169
