,1.60E+06
1,0
0.931618936,0.094202899
0.871420222,0.036231884
0.812390415,-0.050724638
0.755698422,-0.09057971
0.70075979,-0.155797101
0.648743425,-0.253623188
0.59672706,-0.369565217
0.573348919,-0.43115942
0.548217417,-0.492753623
0.524839275,-0.539855072
0.50087668,-0.576086957
0.478082992,-0.608695652
0.457627119,-0.615942029
0.435417884,-0.615942029
0.414377557,-0.612318841
0.373465809,-0.608695652
0.334891876,-0.561594203
0.318527177,-0.536231884
0.29924021,-0.528985507
0.283459965,-0.510869565
0.265926359,-0.492753623
0.233196961,-0.438405797
0.202805377,-0.384057971
0.175336061,-0.311594203
0.150204559,-0.282608696
0.124488603,-0.210144928
0.104617183,-0.094202899
0.084745763,0.032608696
0.066627703,0.137681159
0.049678551,0.260869565
0.035651666,0.456521739
0.025131502,0.601449275
0.014611338,0.746376812
0.006428989,0.887681159
-0.001168907,0.920289855
-0.000584454,-0.072463768
-0.001753361,-1.326086957
0.001168907,-2.130434783
0.008766803,-2.130434783
0.015195792,-1.855072464
0.032144944,-1.039855072
0.099357101,-0.923913043
0.127410871,-0.757246377
0.205143191,-0.586956522
0.247223846,-0.503623188
0.295149036,-0.427536232
0.346580947,-0.362318841
0.402688486,-0.322463768
0.46113384,-0.264492754
0.524839275,-0.239130435
0.593220339,-0.184782609
0.665692577,-0.166666667
0.741087084,-0.126811594
0.822326125,-0.079710145
0.905902981,0.003623188
1,0
