,0.122
1,-0.2775
0.952416357,-0.3225
0.905576208,-0.525
0.855762082,-0.4425
0.808921933,-0.54
0.763568773,-0.5025
0.716728625,-0.36
0.675836431,-0.57
0.634200743,-0.39
0.59330855,-0.54
0.555390335,-0.465
0.517472119,-0.5175
0.481784387,-0.5175
0.446840149,-0.51
0.379925651,-0.5025
0.349442379,-0.51
0.319702602,-0.5625
0.289962825,-0.735
0.23866171,-1.2825
0.214869888,-1.4475
0.150929368,-1.665
0.130111524,-1.6875
0.113011152,-1.785
0.096654275,-1.83
0.082527881,-1.875
0.068401487,-1.8675
0.055018587,-1.8675
0.042379182,-1.9125
0.034200743,-2.0025
0.023048327,-2.145
0.017843866,-2.2725
0.010408922,-2.3475
0.005947955,-2.535
0.001486989,-2.7975
0,-2.745
0.001486989,-0.7425
0.005947955,0.375
0.016356877,0.9675
0.066914498,0.9675
0.092936803,0.7875
0.121933086,0.6825
0.153159851,0.555
0.191821561,0.4125
0.228996283,0.3075
0.273605948,0.195
0.317472119,0.105
0.371747212,0.06
0.42527881,0.015
0.486988848,0
0.54795539,0.0375
0.614869888,0.135
0.683271375,0.24
0.756877323,0.3
0.833457249,0.2775
0.916728625,0.1575
