x/c,y/c
1,0
0.992398649,0.002542373
0.983108108,0.003389831
0.975506757,0.005084746
0.966216216,0.006779661
0.956925676,0.007627119
0.950168919,0.008474576
0.940878378,0.011864407
0.932432432,0.012711864
0.923986486,0.01440678
0.913851351,0.016949153
0.907094595,0.018644068
0.89527027,0.022033898
0.882601351,0.022881356
0.870777027,0.026271186
0.859797297,0.028813559
0.848817568,0.030508475
0.836148649,0.033050847
0.822635135,0.036440678
0.809121622,0.038983051
0.794763514,0.042372881
0.780405405,0.044915254
0.766047297,0.047457627
0.751689189,0.050847458
0.735641892,0.053389831
0.720439189,0.056779661
0.704391892,0.061864407
0.688344595,0.06440678
0.672297297,0.066949153
0.655405405,0.070338983
0.639358108,0.073728814
0.621621622,0.076271186
0.60472973,0.081355932
0.586993243,0.084745763
0.570945946,0.088983051
0.553209459,0.093220339
0.536317568,0.095762712
0.517736486,0.098305085
0.5,0.101694915
0.483108108,0.105084746
0.465371622,0.108474576
0.447635135,0.112711864
0.430743243,0.115254237
0.413006757,0.118644068
0.396114865,0.120338983
0.377533784,0.122033898
0.360641892,0.123728814
0.34375,0.125423729
0.327702703,0.127118644
0.311655405,0.127966102
0.294763514,0.128813559
0.279560811,0.127966102
0.262668919,0.126271186
0.247466216,0.125423729
0.232263514,0.124576271
0.217905405,0.122033898
0.203547297,0.120338983
0.189189189,0.116101695
0.175675676,0.112711864
0.162162162,0.109322034
0.149493243,0.105932203
0.136824324,0.101694915
0.125,0.096610169
0.113175676,0.091525424
0.102195946,0.086440678
0.092060811,0.081355932
0.081925676,0.076271186
0.071790541,0.071186441
0.063344595,0.065254237
0.054898649,0.059322034
0.046452703,0.055084746
0.038006757,0.05
0.032094595,0.044067797
0.024493243,0.038135593
0.017736486,0.031355932
0.012668919,0.022881356
0.007601351,0.015254237
0.001689189,0.009322034
0,0
0.003378378,-0.006779661
0.008445946,-0.015254237
0.016047297,-0.019491525
0.023648649,-0.024576271
0.032094595,-0.028813559
0.040540541,-0.031355932
0.049831081,-0.03559322
0.059121622,-0.039830508
0.069256757,-0.042372881
0.079391892,-0.046610169
0.090371622,-0.049152542
0.100506757,-0.053389831
0.110641892,-0.055932203
0.122466216,-0.059322034
0.133445946,-0.061864407
0.14527027,-0.065254237
0.157094595,-0.06779661
0.169763514,-0.069491525
0.183277027,-0.072033898
0.196790541,-0.074576271
0.210304054,-0.075423729
0.224662162,-0.077118644
0.23902027,-0.078813559
0.253378378,-0.078813559
0.268581081,-0.079661017
0.284628378,-0.080508475
0.299831081,-0.080508475
0.315033784,-0.079661017
0.331081081,-0.080508475
0.347972973,-0.080508475
0.36402027,-0.079661017
0.380912162,-0.079661017
0.397804054,-0.077966102
0.414695946,-0.076271186
0.431587838,-0.074576271
0.44847973,-0.073728814
0.466216216,-0.071186441
0.483108108,-0.068644068
0.500844595,-0.065254237
0.517736486,-0.062711864
0.534628378,-0.059322034
0.552364865,-0.055932203
0.569256757,-0.051694915
0.586993243,-0.049152542
0.603040541,-0.044915254
0.620777027,-0.041525424
0.637668919,-0.03559322
0.654560811,-0.033898305
0.670608108,-0.027966102
0.686655405,-0.024576271
0.701858108,-0.021186441
0.71875,-0.01779661
0.733952703,-0.01440678
0.748310811,-0.011864407
0.764358108,-0.011016949
0.778716216,-0.008474576
0.793074324,-0.005932203
0.805743243,-0.003389831
0.820101351,-0.002542373
0.833614865,-0.000847458
0.846283784,0
0.858952703,0.000847458
0.870777027,0.001694915
0.882601351,0.001694915
0.893581081,0.002542373
0.903716216,0.002542373
0.912162162,0.003389831
0.923986486,0.003389831
0.932432432,0.002542373
0.940878378,0.001694915
0.94847973,0.001694915
0.956081081,0.000847458
0.963682432,0.000847458
0.972128378,0.000847458
0.980574324,0
0.98902027,-0.000847458
0.997466216,-0.001694915
