,0.6
1,0.037619699
0.9,-0.091655267
0.75,-0.264021888
0.67,-0.359781122
0.64,-0.374145007
0.6,-0.407660739
0.5,-0.503419973
0.47,-0.522571819
0.43,-0.58002736
0.4,-0.594391245
0.35,-0.627906977
0.31,-0.675786594
0.27,-0.795485636
0.24,-0.824213406
0.21,-0.943912449
0.18,-1.097127223
0.15,-1.365253078
0.12,-1.499316005
0.09,-1.858413133
0.07,-2.183994528
0.05,-2.222298222
0.03,-2.332421341
0.01,-2.241450068
0,1.019151847
0.01,0.880300958
0.03,0.612175103
0.1,0.253077975
0.18,0.157318741
0.27,
0.35,0.013679891
0.4,-0.029411765
0.47,-0.053351573
0.56,
0.64,-0.024623803
0.71,0.142954856
0.8,0.257865937
0.87,0.300957592
0.95,0.281805746
