,0.6
1,-0.219078337
0.9,-0.236151067
0.8,-0.298563339
0.7,-0.368631937
0.65,-0.405523116
0.6,-0.449982619
0.55,-0.502045648
0.5,-0.557822435
0.45,-0.632625636
0.4,-0.745129652
0.35,-0.865360397
0.3,-0.958978804
0.25,-1.143399497
0.2,-1.316520507
0.15,-1.497262643
0.125,-1.591391472
0.1,-1.647696281
0.08,-1.647309065
0.06,-1.9799105
0.04,-2.108219992
0.02,-1.634794929
0.008,-1.184321249
0,0.745882964
0.01,0.987805318
0.04,0.699680986
0.06,0.627500297
0.1,0.52826725
0.2,0.412876711
0.35,0.232152176
0.5,0.123397121
0.7,0.093123826
0.9,0.028775472
1,-0.173721195
