,0.6
1,0.136562485
0.9,0.01728218
0.8,-0.090487233
0.7,-0.198309448
0.65,-0.235253429
0.6,-0.294779177
0.55,-0.339291482
0.5,-0.417808442
0.45,-0.462303147
0.4,-0.525683459
0.35,-0.623156431
0.3,-0.705439953
0.25,-0.765018503
0.2,-0.926769426
0.15,-1.531284899
0.125,-2.386118286
0.1,-2.50677145
0.08,-2.476075736
0.06,-2.358379499
0.04,-1.892540361
0.02,-1.006659245
0.008,-0.457779753
0,1.07125049
0.01,0.529956922
0.04,0.359141611
0.06,0.3285163
0.1,0.297415769
0.2,0.246338383
0.35,0.126195641
0.5,0.077934376
0.7,0.096819984
0.9,0.11963056
1,0.136544884
