,0.8
1,0.162847173
0.9,0.04125384
0.8,-0.061279473
0.7,-0.159943939
0.65,-0.186560466
0.6,-0.235750593
0.55,-0.266164913
0.5,-0.308114719
0.45,-0.32319576
0.4,-0.338561013
0.35,-0.733350327
0.3,-0.775300133
0.25,-0.733414275
0.2,-0.794281994
0.15,-0.767871522
0.125,-0.781073205
0.1,-0.646018845
0.08,-0.576379609
0.06,-0.506385107
0.04,-0.204796268
0.02,0.453927243
0.008,0.834559208
0,0.744193755
0.01,-1.246986767
0.04,-1.367063114
0.06,-1.307790539
0.1,-1.185660755
0.2,-1.037553923
0.35,-0.194134736
0.5,-0.205503248
0.7,-0.080119227
0.9,0.098362846
1,0.158907273
