,0.6
1,0.091205344
0.9,0.032542033
0.8,-0.026103677
0.7,-0.073432103
0.65,-0.083851749
0.6,-0.113174604
0.55,-0.112241764
0.5,-0.133978694
0.45,-0.144380739
0.4,-0.151016223
0.35,-0.172823557
0.3,-0.198344649
0.25,-0.167085711
0.2,-0.162333508
0.15,-0.20304405
0.125,-0.179863858
0.1,-0.164287191
0.08,-0.122256593
0.06,-0.061340385
0.04,0.150977502
0.02,0.658477623
0.008,0.961333785
0,0.057147886
0.01,-2.107639167
0.04,-1.256801151
0.06,-1.139844145
0.1,-1.140583377
0.2,-0.81704633
0.35,-0.32031787
0.5,-0.217265459
0.7,-0.077233866
0.9,0.040110357
1,0.113875114
