,0.8
1,0.172597522
0.9,0.098187628
0.8,-0.029069903
0.7,-0.137473682
0.6,-0.215650095
0.55,-0.241550197
0.5,-0.263599141
0.45,-0.285743305
0.4,-0.489114128
0.35,-0.817171514
0.3,-0.809045992
0.25,-0.774501941
0.2,-0.864570395
0.15,-0.848901256
0.125,-0.761742332
0.1,-0.71615265
0.08,-0.674361226
0.06,-0.519278013
0.04,-0.326413238
0.02,0.176163018
0,1.124458034
0.01,-0.02390681
0.04,-0.568168689
0.06,-0.734593777
0.1,-0.874801358
0.2,-0.377345874
0.35,-0.318594539
0.7,-0.084615466
0.9,0.151056424
1,0.191504174
