,0.61
1,-0.243577848
0.9,-0.287111608
0.8,-0.322652217
0.7,-0.402928225
0.6,-0.471027903
0.55,-0.525433825
0.5,-0.567610103
0.45,-0.605709833
0.4,-0.68065844
0.35,-0.743164144
0.3,-0.838335546
0.25,-0.949813141
0.2,-1.110262628
0.15,-1.254405922
0.125,-1.371346255
0.1,-1.520792343
0.08,-1.666588403
0.06,-1.889732246
0.04,-2.267891545
0.02,-2.421680756
0.01,-2.127689461
0,-0.308749302
0.01,1.101629696
0.04,0.835001307
0.06,0.695279058
0.1,0.546337412
0.2,0.406479825
0.35,0.239550513
0.7,0.10272368
0.9,0.018629497
1,-0.247654396
