,0.4,0.6
1,0.054746823,-0.243577848
0.9,0.014336507,-0.287111608
0.8,-0.089206751,-0.322652217
0.7,-0.204340186,-0.402928225
0.6,-0.342408762,-0.471027903
0.55,-0.408565941,-0.525433825
0.5,-0.469050635,-0.567610103
0.45,-0.569814868,-0.605709833
0.4,-0.670415628,-0.68065844
0.35,-0.771261596,-0.743164144
0.3,-0.889206751,-0.838335546
0.25,-1.059021619,-0.949813141
0.2,-1.286215211,-1.110262628
0.15,-1.651837018,-1.254405922
0.125,-1.877804569,-1.371346255
0.1,-2.172741019,-1.520792343
0.08,-2.519220238,-1.666588403
0.06,-2.917405697,-1.889732246
0.04,-4.570419715,-2.267891545
0.02,,-2.421680756
0.01,,-2.127689461
0,-3.159914826,-0.308749302
0.01,0.988607932,1.101629696
0.04,0.989382484,0.835001307
0.06,0.875278924,0.695279058
0.1,0.722367077,0.546337412
0.2,0.538199354,0.406479825
0.35,0.379909273,0.239550513
0.7,0.238898198,0.10272368
0.9,0.210061711,0.018629497
1,0.054828559,-0.247654396
