,0.4
1,0.129637895
0.9,0.03913413
0.8,-0.0573502
0.7,-0.131025673
0.6,-0.227271417
0.55,-0.264029624
0.5,-0.295204911
0.45,-0.343288018
0.4,-0.380205284
0.35,-0.428447449
0.3,-0.459384149
0.25,-0.547263464
0.2,-0.640805229
0.15,-0.802137336
0.125,-0.843285533
0.1,-0.912586922
0.08,-1.027028854
0.06,-1.135808336
0.04,-1.227679996
0.02,-1.013461242
0.01,-0.640137187
0,0.876842707
0.01,0.673710267
0.04,0.165759873
0.06,0.076194547
0.1,0.027459304
0.2,0.027602455
0.35,0.007720257
0.7,0.050252255
0.9,0.090016651
1,0.140962795
