,0.4,0.6
1,0.146704774,0.1397243
0.9,0.084274673,0.084014211
0.8,-0.04036285,-0.020934346
0.7,-0.108455402,-0.113439998
0.6,-0.159322017,-0.177409813
0.55,-0.173509954,-0.199309981
0.5,-0.19336034,-0.225180066
0.45,-0.224456098,-0.259096618
0.4,-0.267035813,-0.289096567
0.35,-0.292310063,-0.318989886
0.3,-0.306577528,-0.336706875
0.25,-0.354740165,-0.395402605
0.2,-0.414227701,-0.441548801
0.15,-0.490702587,-0.5448733
0.12,-0.486551184,-0.547670288
0.1,-0.499148545,-0.550467275
0.08,-0.545561548,-0.590113141
0.06,-0.54109203,-0.560511004
0.04,-0.479998012,-0.563521252
0.02,-0.130357631,-0.191009243
0.01,1.001496135,1.045357749
0,0.283001218,0.408349952
0.01,-0.10148868,-0.016144197
0.04,-0.423214454,-0.46160755
0.06,-0.43350548,--
0.1,-0.335017024,-0.428064204
0.2,-0.210299973,-0.237721398
0.35,-0.150907871,-0.20495317
0.7,-0.029101573,-0.044085366
0.9,0.078691751,0.100213773
1,0.146545717,0.143800848
