,0.76
1,0.0934
0.9745,0.0664
0.9495,0.038
0.899,-0.0606
0.849,-0.1254
0.7985,-0.2065
0.7485,-0.2821
0.7,-0.3327
0.66,-0.3845
0.62,-0.4305
0.5795,-0.5216
0.5395,-0.6808
0.5,-0.9629
0.46,-1.2193
0.42,-1.2699
0.38,-1.2844
0.3397,-1.2785
0.2995,-1.2731
0.2595,-1.2507
0.22,-1.2484
0.17,-1.2444
0.14,-1.2235
0.099,-1.1942
0.0797,-1.1208
0.0645,-0.9849
0.0345,-0.7624
0.025,-0.5573
0.0155,-0.3854
0.0087,-0.268
0.0032,0.1594
0,1.0715
0.0032,1.0747
0.007,0.8796
0.0182,0.5661
0.0487,0.3223
0.0987,0.159
0.15,0.0773
0.2,-0.0023
0.2492,-0.0779
0.3492,-0.1546
0.4492,-0.1827
0.55,-0.1042
0.645,0.1124
0.75,0.2363
0.8,0.2667
0.849,0.3056
0.8992,0.3099
0.9495,0.2724
1,0.0934
