,0.81
1,0.134095021
0.95,0.166455597
0.9,0.071017856
0.8,-0.05189963
0.7,-0.20679226
0.65,-0.25428695
0.6,-0.317781012
0.55,-0.233509007
0.5,-0.229139464
0.45,-0.244714072
0.4,-0.280232833
0.35,-0.247903721
0.3,-0.251486667
0.25,-0.227165107
0.2,-0.350507355
0.15,-0.334138284
0.125,-0.286030048
0.1,-0.261881539
0.08,-0.221835916
0.06,-0.061960198
0.04,0.097860458
0.02,0.381463856
0.01,0.928427594
0,0.514024352
0.01,-1.356515439
0.04,-0.89836898
0.06,-0.846838
0.1,-0.444694815
0.2,-0.294746031
0.35,-0.472575367
0.5,-0.283559438
0.7,-0.13118507
0.9,0.076942592
0.95,0.123985654
1,0.139109428
