,0.6
1,0.089818825
0.95,0.095084139
0.9,0.017432528
0.8,-0.027189306
0.7,-0.090268494
0.65,-0.098822668
0.6,-0.139575254
0.55,-0.083591428
0.5,-0.073688247
0.45,-0.059194255
0.4,-0.076898676
0.35,-0.048585198
0.3,-0.029469024
0.25,0.003498009
0.2,-0.046514627
0.15,0.009469199
0.125,0.055910624
0.1,0.093091999
0.08,0.148636613
0.06,0.254884053
0.04,0.407149393
0.02,0.670002004
0.01,1.061679637
0,
0.01,-1.628545285
0.04,-1.555233506
0.06,-1.311387265
0.1,-0.842042335
0.2,-0.396592622
0.35,-0.324990632
0.5,-0.253341583
0.7,-0.1640038
0.9,0.054347239
0.95,0.127360982
1,0.094425321
