,0.4
1,0.12395192
0.95,0.112225154
0.9,0.077044855
0.8,-0.022632659
0.7,-0.139900322
0.65,-0.145763706
0.6,-0.192670771
0.55,-0.151627089
0.5,-0.157490472
0.45,-0.175080622
0.4,-0.22785107
0.35,-0.210260921
0.3,-0.204397537
0.25,-0.210260921
0.2,-0.280621519
0.15,-0.304075051
0.125,-0.315801818
0.1,-0.33925535
0.08,-0.350982117
0.06,-0.274758135
0.04,-0.192670771
0.02,-0.00504251
0.01,0.551978892
0,0.60474934
0.01,-0.48583993
0.04,-0.169217238
0.06,-0.128173556
0.1,-0.110583407
0.2,-0.104720023
0.35,-0.122310173
0.5,-0.104720023
0.7,-0.051949575
0.9,0.12395192
0.95,0.159132219
1,0.118088537
