,0.4
1,0.133312707
0.95300206,0.170252158
0.899746088,0.112599239
0.80176627,-0.10378763
0.701583601,-0.22519229
0.650530479,-0.271124037
0.601620363,-0.305247981
0.552730195,-0.327434176
0.501697021,-0.36155812
0.450663847,-0.407446552
0.399710466,-0.394122707
0.350840246,-0.398575539
0.299846969,-0.426730609
0.250877008,-0.478544599
0.20198684,-0.494891866
0.148511437,-0.671185916
0.124958323,-0.753407382
0.101425156,-0.835628848
0.082217897,-0.876501346
0.060947425,-0.899597166
0.03993628,-0.792373998
0.01908472,-0.643671916
0.009027982,-0.394365273
0.001624353,0.998574302
0.012966325,0.411467467
0.040167109,0.215101018
0.059134989,0.167090127
0.101436555,0.088845023
0.201120518,0.038451781
0.351658122,-0.04901086
0.500192358,-0.100790198
0.704165467,-0.035661025
0.899805933,0.100661489
0.950918899,0.164499861
1,0.10961047
