,0.81
1,-0.301791145
0.95,-0.280156889
0.9,-0.366363269
0.8,-0.439665264
0.7,-0.479912873
0.65,
0.6,-0.53117861
0.55,-0.551276217
0.5,-0.609937275
0.45,-0.646509678
0.4,-0.727311786
0.35,-0.907119867
0.3,-1.125543796
0.25,-1.266945613
0.2,-1.298061348
0.15,-1.318158954
0.125,-1.284109044
0.1,-1.189459423
0.08,-1.04538541
0.06,-0.901416189
0.04,-0.674706208
0.02,-0.49212114
0.01,-0.191090125
0,1.092811633
0.01,0.678506707
0.04,0.44745301
0.06,0.362295596
0.1,0.268720116
0.2,0.149373122
0.35,-0.017816132
0.5,
0.7,-0.013305032
0.8,-0.006149494
0.9,0.028061792
0.95,0.029664372
1,-0.102738404
