,0.6
1,-0.041546224
0.95,-0.013361613
0.9,-0.044871008
0.8,-0.160999427
0.7,-0.263850439
0.65,
0.6,-0.373503134
0.55,-0.411651233
0.5,-0.509493337
0.45,-0.620775828
0.4,-0.771781888
0.35,-0.796652579
0.3,-1.07390266
0.25,-1.277964022
0.2,-1.522020585
0.15,-1.739413681
0.125,-1.84481804
0.1,-2.149383507
0.08,-2.434141516
0.06,-2.479960523
0.04,-2.539111263
0.02,-2.491934093
0.01,-2.458414616
0,-0.512839852
0.01,1.066954296
0.04,0.806958325
0.06,0.700141475
0.1,0.55931621
0.2,0.390089028
0.35,0.2257621
0.5,
0.7,0.081362148
0.9,0.127843938
0.95,0.165883384
1,0.024840812
