,0.81
1,0.217545845
0.95,0.08456383
0.9,-0.005184884
0.8,
0.7,-0.155680914
0.65,-0.207989531
0.6,-0.24422713
0.55,-0.269727139
0.5,-0.381233974
0.45,-0.906067304
0.4,-0.904652602
0.35,-0.881868822
0.3,-0.880454119
0.25,-0.88458505
0.2,-0.958298113
0.15,-0.951691453
0.125,-0.902806416
0.1,-0.864482131
0.08,-0.751065448
0.06,-0.589435711
0.04,-0.395699305
0.02,-0.121324869
0.01,0.179539868
0,1.151645476
0.01,0.007738422
0.06,-0.020484889
0.1,-0.048354524
0.2,-0.072446904
0.35,-0.11409574
0.5,-0.080581443
0.7,-0.139574528
0.8,-0.034886559
0.9,0.112716405
0.95,0.229485933
1,0.217545845
