,0.4
1,0.196548734
0.95,0.23746875
0.9,0.14839362
0.8,0.023933403
0.7,-0.032049948
0.65,-0.055376344
0.6,-0.055376344
0.55,-0.060041623
0.5,-0.07870274
0.45,-0.07870274
0.4,-0.088033299
0.35,-0.060041623
0.3,-0.055376344
0.25,-0.041380506
0.2,0.014602844
0.15,0.005272286
0.125,0.033263961
0.1,0.03792924
0.08,0.093912591
0.06,0.187218176
0.04,0.355168228
0.02,0.621089143
0.01,0.868348942
0,-0.479916753
0.01,-2.094103365
0.04,-1.002428026
0.1,-0.554561221
0.2,-0.37728061
0.35,-0.274644468
0.5,-0.190669442
0.7,-0.176673604
0.8,-0.055376344
0.9,0.019355959
0.95,0.088573892
1,0.172704884
