,0.4,0.6
1,0.100498388,0.043738181
0.95,0.094635004,0.13199885
0.9,0.041864556,0.06356023
0.8,-0.022632659,-0.082482941
0.7,-0.175080622,-0.228431996
0.65,-0.204397537,-0.273869509
0.6,-0.24544122,-0.319228591
0.55,-0.233714453,-0.281670748
0.5,-0.24544122,-0.29019355
0.45,-0.280621519,-0.303338533
0.4,-0.333391967,-0.362532788
0.35,-0.33925535,-0.352613921
0.3,-0.3568455,-0.379547019
0.25,-0.386162416,-0.424937473
0.2,-0.474113163,-0.497951216
0.15,-0.573790677,-0.6354559
0.123713024,-0.632424509,-0.708799052
0.099101198,-0.737965406,-0.837467212
0.080278927,-0.814189387,-0.897084993
0.059978187,-0.802462621,-0.827673833
0.038239143,-0.825916154,-0.808965499
0.017949878,-0.849369686,-0.679716952
0,,-0.177467734
0.009165132,-0.585517444,1.107917142
0.002847689,1.003459396,0.536554801
0.008742439,0.710290237,0.227496057
0.039315958,0.317443565,0.194983922
0.059630087,0.264673116,0.125321784
0.1,0.206039285,0.036402297
0.2,0.112225154,-0.039403578
0.35,0.041864556,-0.013772429
0.5,0.03013779,-0.007398628
0.7,0.036001173,-0.008763322
0.9,0.100498388,0.072773222
0.95,0.164995602,0.127345295
1,0.118088537,0.089787453
