,0.4,0.6
1,0.112225154,0.089818825
0.95,0.106361771,0.095084139
0.9,0.094635004,0.017432528
0.8,-0.00504251,-0.027189306
0.7,-0.069539724,-0.090268494
0.65,-0.063676341,-0.098822668
0.6,-0.104720023,-0.139575254
0.55,-0.063676341,-0.083591428
0.5,-0.057812958,-0.073688247
0.45,-0.057812958,-0.059194255
0.4,-0.081266491,-0.076898676
0.35,-0.051949575,-0.048585198
0.3,-0.034359425,-0.029469024
0.25,-0.010905893,0.003498009
0.2,-0.022632659,-0.046514627
0.15,-0.010905893,0.009469199
0.123713024,0.01254764,0.055910624
0.099101198,0.03013779,0.093091999
0.080278927,0.077044855,0.148636613
0.059978187,0.182585752,0.254884053
0.038239143,0.323306948,0.407149393
0.017949878,0.587159191,0.670002004
0.009165132,1.009322779,1.061679637
0.002847689,-1.306713574,
0.008742439,-1.793374377,-1.628545285
0.039315958,-0.83764292,-1.555233506
0.059630087,-0.567927294,-1.311387265
0.1,-0.433069481,-0.842042335
0.2,-0.298211668,-0.396592622
0.35,-0.257167986,-0.324990632
0.5,-0.186807388,-0.253341583
0.7,-0.139900322,-0.1640038
0.9,0.071181472,0.054347239
0.95,0.082908238,0.127360982
1,0.106361771,0.094425321
