,0.6
1,-0.041546224
0.953041957,-0.013361613
0.904091944,-0.044871008
0.801646581,-0.160999427
0.703507177,-0.263850439
0.652414159,
0.603444198,-0.373503134
0.552351179,-0.411651233
0.503401167,-0.509493337
0.452348045,-0.620775828
0.401255026,-0.771781888
0.350181956,-0.796652579
0.301192047,-1.07390266
0.249919495,-1.277964022
0.200849793,-1.522020585
0.149138381,-1.739413681
0.125325939,-1.84481804
0.10127412,-2.149383507
0.079484995,-2.434141516
0.059779031,-2.479960523
0.040212705,-2.539111263
0.017825134,-2.491934093
0.009740417,-2.458414616
-0.001849482,-0.512839852
0.01025622,1.066954296
0.039480321,0.806958325
0.060491466,0.700141475
0.10259355,0.55931621
0.199855233,0.390089028
0.352356309,0.2257621
0.500730959,
0.702221944,0.081362148
0.899666295,0.127843938
0.952922268,0.165883384
0.999689378,0.024840812
