,0.81
1,0.17520921
0.951084597,0.204693184
0.900653453,0.146032126
0.800925164,-0.053978353
0.702570398,-0.248532164
0.598946092,-0.382276681
0.548514948,-0.440937739
0.499502238,-0.477614934
0.451922933,-0.486799204
0.40037276,-0.457262833
0.351569634,-0.416813126
0.300019461,-0.387276756
0.253140017,-0.638912259
0.201245528,-0.736084373
0.150724562,-0.827799817
0.126285573,-0.821347625
0.099413913,-0.710118415
0.079574545,-0.511006153
0.060973967,-0.356018803
0.041374122,-0.068761508
0.021968892,0.290113624
0.000819623,1.007182742
0.004719382,-0.557705954
0.03254914,-0.316355035
0.101730565,-0.357590682
0.199770955,-0.278727226
0.347583796,-0.383601551
0.704228357,-0.13840327
0.902101828,0.179034117
0.953816674,0.210097457
1,0.208368389
