,0.8
1,-0.003
0.981,-0.019
0.972,-0.041
0.949,-0.093
0.932,-0.138
0.899,-0.242
0.85,-0.613
0.801,-0.789
0.75,-0.69
0.7,-0.612
0.652,-0.556
0.6,-0.507
0.549,-0.438
0.499,-0.401
0.448,-0.355
0.398,-0.555
0.351,-0.68
0.301,-0.701
0.25,-0.736
0.2,-0.754
0.15,-0.766
0.098,-0.762
0.072,-0.752
0.047,-0.717
0.028,-0.675
0.019,-0.549
0.012,-0.26
0.003,0.574
0,1.167
0,1.167
0.006,0.467
0.011,0.202
0.02,-0.039
0.029,-0.159
0.048,-0.253
0.069,-0.31
0.102,-0.343
0.151,-0.332
0.199,-0.291
0.251,-0.242
0.299,-0.215
0.35,-0.202
0.4,-0.199
0.451,-0.206
0.5,-0.237
0.549,-0.236
0.598,-0.219
0.649,0.031
0.699,0.241
0.747,0.344
0.8,0.44
0.85,0.457
0.899,0.5
0.929,0.505
0.95,0.489
0.969,0.44
0.99,0.302
0.998,0.116
