,0.6
1,-0.007
0.981,-0.051
0.972,-0.087
0.949,-0.189
0.932,-0.261
0.899,-0.359
0.85,-0.451
0.801,-0.484
0.75,-0.497
0.7,-0.489
0.652,-0.473
0.6,-0.486
0.549,-0.465
0.499,-0.467
0.448,-0.472
0.398,-0.481
0.351,-0.507
0.301,-0.543
0.25,-0.589
0.2,-0.641
0.15,-0.72
0.098,-0.848
0.072,-1.034
0.047,-1.013
0.028,-1.632
0.019,-1.797
0.012,-1.462
0.003,-0.268
0,0.981
0,0.981
0.006,0.82
0.011,0.577
0.02,0.371
0.029,0.216
0.048,0.12
0.069,0.067
0.102,-0.001
0.151,-0.038
0.199,-0.043
0.251,-0.037
0.299,-0.025
0.35,-0.031
0.4,-0.038
0.451,-0.053
0.5,-0.094
0.549,-0.097
0.598,-0.12
0.649,0.036
0.699,0.236
0.747,0.339
0.8,0.412
0.85,0.458
0.899,0.477
0.929,0.479
0.95,0.458
0.969,0.403
0.99,0.268
0.998,0.097
