,0.6
1,0.015
0.981,-0.047
0.972,-0.081
0.949,-0.19
0.932,-0.259
0.899,-0.354
0.85,-0.428
0.801,-0.439
0.75,-0.443
0.7,-0.424
0.652,-0.394
0.6,-0.397
0.549,-0.357
0.499,-0.356
0.448,-0.343
0.398,-0.339
0.351,-0.344
0.301,-0.357
0.25,-0.377
0.2,-0.392
0.15,-0.41
0.098,-0.499
0.072,-0.546
0.047,-0.557
0.028,-0.616
0.019,-0.606
0.012,-0.431
0.003,0.464
0,1.096
0,1.096
0.006,0.283
0.011,-0.018
0.02,-0.211
0.029,-0.306
0.048,-0.343
0.069,-0.337
0.102,-0.329
0.151,-0.3
0.199,-0.259
0.251,-0.216
0.299,-0.205
0.35,-0.184
0.4,-0.176
0.451,-0.181
0.5,-0.203
0.549,-0.204
0.598,-0.188
0.649,-0.029
0.699,0.183
0.747,0.292
0.8,0.365
0.85,0.411
0.899,0.44
0.929,0.443
0.95,0.431
0.969,0.383
0.99,0.261
0.998,0.099
