,0.79
1,0.028
0.981,0.01
0.972,-0.017
0.949,-0.089
0.932,-0.156
0.899,-0.276
0.85,-0.481
0.801,-0.739
0.75,-0.654
0.7,-0.572
0.652,-0.529
0.6,-0.502
0.549,-0.45
0.499,-0.432
0.448,-0.409
0.398,-0.396
0.351,-0.399
0.301,-0.391
0.25,-0.47
0.2,-0.482
0.15,-0.522
0.098,-0.553
0.072,-0.568
0.047,-0.485
0.028,-0.477
0.019,-0.342
0.012,-0.116
0.003,0.71
0,1.163
0,1.163
0.006,0.301
0.011,-0.042
0.02,-0.247
0.029,-0.426
0.048,-0.48
0.069,-0.539
0.102,-0.559
0.151,-0.501
0.199,-0.398
0.251,-0.335
0.299,-0.329
0.35,-0.287
0.4,-0.268
0.451,-0.268
0.5,-0.291
0.549,-0.279
0.598,-0.223
0.649,0.014
0.699,0.219
0.747,0.301
0.8,0.358
0.85,0.415
0.899,0.463
0.929,0.465
0.95,0.461
0.969,0.421
0.99,0.301
0.998,0.138
