,0.79
1,0.061
0.989,0.044
0.972,0.012
0.932,-0.18
0.899,-0.281
0.85,-0.403
0.801,-0.466
0.75,-0.491
0.7,-0.535
0.652,-0.553
0.6,-0.592
0.549,-0.542
0.499,-0.517
0.448,-0.492
0.398,-0.665
0.351,-0.653
0.301,-0.691
0.25,-0.692
0.2,-0.697
0.15,-0.73
0.098,-0.79
0.071,-0.785
0.046,-0.858
0.029,-0.794
0.016,-0.625
0.012,-0.448
0.003,0.481
0,1.163
0,1.163
0.006,0.553
0.011,0.18
0.02,0.019
0.029,-0.051
0.048,-0.133
0.069,-0.156
0.102,-0.184
0.151,-0.218
0.199,-0.243
0.251,-0.257
0.299,-0.262
0.35,-0.266
0.4,-0.272
0.451,-0.28
0.5,-0.283
0.549,-0.239
0.598,-0.16
0.649,-0.027
0.699,0.148
0.747,0.271
0.8,0.371
0.85,0.433
0.899,0.471
0.929,0.472
0.95,0.461
0.998,0.061
