,0.6
1,0.021
0.989,-0.018
0.972,-0.08
0.932,-0.231
0.899,-0.29
0.85,-0.371
0.801,-0.39
0.75,-0.398
0.7,-0.412
0.652,-0.414
0.6,-0.421
0.549,-0.43
0.499,-0.441
0.448,-0.449
0.398,-0.458
0.351,-0.47
0.301,-0.487
0.25,-0.508
0.2,-0.533
0.15,-0.587
0.098,-0.665
0.071,-0.714
0.046,-0.94
0.029,-1.108
0.016,-1.351
0.012,-1.269
0.003,-0.11
0,1.03
0,1.03
0.006,0.69
0.011,0.374
0.02,0.203
0.029,0.118
0.048,0.01
0.069,-0.032
0.102,-0.073
0.151,-0.105
0.199,-0.12
0.251,-0.139
0.299,-0.126
0.35,-0.149
0.4,-0.151
0.451,-0.167
0.5,-0.184
0.549,-0.164
0.598,-0.12
0.649,-0.018
0.699,0.117
0.747,0.229
0.8,0.332
0.85,0.401
0.899,0.434
0.929,0.433
0.95,0.423
0.998,0.018
