,0.76
1,-0.006
0.98,-0.0466
0.97,-0.0873
0.95,-0.1515
0.93,-0.2665
0.9,-0.379
0.85,-0.4498
0.8,-0.4628
0.75,-0.4599
0.7,-0.7878
0.65,-1.1085
0.6,-1.0903
0.55,-1.089
0.5,-1.0829
0.45,-1.1111
0.4,-1.1362
0.35,-1.1524
0.3,-1.2213
0.25,-1.2023
0.2,-1.2393
0.15,-1.2538
0.1,-1.2818
0.07,-1.3067
0.05,-1.281
0.03,-1.3114
0.02,-1.3014
0.002,0.1577
0,1.1003
0.004,0.8438
0.01,0.6172
0.02,0.3967
0.03,0.2712
0.05,0.1716
0.07,0.101
0.1,0.0465
0.15,-0.0074
0.2,-0.004
0.25,-0.0079
0.3,-0.0074
0.35,-0.0013
0.4,-0.018
0.45,-0.0386
0.5,-0.0578
0.55,-0.0746
0.6,-0.0658
0.65,0.0842
0.7,0.3129
0.75,0.4098
0.8,0.4737
0.85,0.5235
0.9,0.5533
0.93,0.5478
0.95,0.5247
0.97,0.4874
0.98,0.4427
