,0.6,0.7,0.75,0.8
1,-0.0447,-0.0439,-0.0147,-0.1014
0.98,-0.103,-0.084,-0.0559,-0.1321
0.97,-0.1424,-0.125,-0.0945,-0.1175
0.95,-0.2118,-0.1887,-0.173,-0.1583
0.93,-0.3327,-0.3169,-0.2985,-0.1998
0.9,-0.4386,-0.4519,-0.4481,-0.249
0.85,-0.5061,-0.5566,-0.5768,-0.364
0.8,-0.5363,-0.592,-0.6434,-0.537
0.75,-0.5411,-0.6008,-0.5828,-1.0387
0.7,-0.5223,-0.5825,-0.5099,-0.9845
0.65,-0.5068,-0.5663,-0.4423,-0.9535
0.6,-0.4957,-0.5439,-0.4174,-0.9359
0.55,-0.4891,-0.5368,-0.956,-0.9407
0.5,-0.4994,-0.5348,-1.008,-0.9331
0.45,-0.498,-0.5427,-1.0427,-0.9364
0.4,-0.5234,-0.5424,-1.045,-0.9561
0.35,-0.5393,-0.5507,-1.0609,-0.9525
0.3,-0.5798,-0.587,-1.1375,-1.0178
0.25,-0.62,-0.5699,-1.1452,-1.0208
0.2,-0.675,-0.4735,-1.1592,-1.0387
0.15,-0.7687,-1.3508,-1.192,-1.0598
0.1,-0.8771,-1.4661,-1.2057,-1.0377
0.07,-1.0976,-1.5079,-1.2163,-1.0404
0.05,-0.9844,-1.5053,-1.2041,-1.0223
0.03,-1.9079,-1.5575,-1.2176,-1.0203
0.02,-2.1421,-1.5572,-1.2136,-1.0004
0.002,-0.3468,0.0392,0.2473,0.3466
0,0.9588,1.0702,1.1213,1.1586
0.004,0.8463,0.7966,0.7727,0.7159
0.01,0.615,0.5551,0.5089,0.4867
0.02,0.3933,0.3456,0.297,0.2427
0.03,0.2611,0.2167,0.1675,0.1063
0.05,0.1668,0.1087,0.0898,0.0342
0.07,0.0899,0.0527,0.0275,-0.0186
0.1,0.0198,-0.0017,-0.0304,-0.0818
0.15,-0.0213,-0.048,-0.0639,-0.0984
0.2,-0.0181,-0.0409,-0.0604,-0.0857
0.25,-0.0187,-0.0367,-0.0512,-0.0723
0.3,-0.0173,-0.0443,-0.052,-0.0788
0.35,-0.0173,-0.042,-0.0508,-0.0784
0.4,-0.0334,-0.0459,-0.0598,-0.0798
0.45,-0.0394,-0.057,-0.0678,-0.0945
0.5,-0.0621,-0.0889,-0.081,-0.12
0.55,-0.0902,-0.1089,-0.1109,-0.1432
0.6,-0.0776,-0.0898,-0.0909,-0.1126
0.65,0.0397,0.0436,0.0708,0.0513
0.7,0.2642,0.2795,0.299,0.2853
0.75,0.3437,0.3716,0.3952,0.3838
0.8,0.4121,0.4394,0.4587,0.4517
0.85,0.4623,0.4907,0.5032,0.4935
0.9,0.4905,0.5196,0.5383,0.5295
0.93,0.4816,0.5114,0.5363,0.5246
0.95,0.464,0.4895,0.5226,0.5007
0.97,0.4249,0.4536,0.4787,0.4606
0.98,0.3813,0.4103,0.4415,0.4266
