X/C,X/C UR,CP
0.9489,-0.9489,-0.0237
0.8993,-0.8993,-0.076
0.85,-0.85,-0.1391
0.8003,-0.8003,-0.2023
0.7489,-0.7489,-0.2697
0.6996,-0.6996,-0.3325
0.6495,-0.6495,-0.3917
0.5994,-0.5994,-0.4589
0.5492,-0.5492,-0.5266
0.4997,-0.4997,-0.6114
0.4496,-0.4496,-0.6965
0.3994,-0.3994,-0.7872
0.3499,-0.3499,-0.9009
0.299,-0.299,-1.0487
0.2501,-0.2501,-1.199
0.1994,-0.1994,-1.4318
0.1503,-0.1503,-1.7265
0.1012,-0.1012,-2.2159
0.0763,-0.0763,-2.6132
0.0515,-0.0515,-3.1638
0.0271,-0.0271,-4.3521
0.0135,-0.0135,-5.8139
0,0,-5.5067
0.0122,0.0122,0.7557
0.0251,0.0251,1.0104
0.051,0.051,0.955
0.0755,0.0755,0.8457
0.1,0.1,0.7385
0.1504,0.1504,0.5831
0.2004,0.2004,0.4699
0.2501,0.2501,0.3881
0.3002,0.3002,0.3361
0.3507,0.3507,0.2829
0.4,0.4,0.2381
0.4503,0.4503,0.2115
0.5,0.5,0.1729
0.5506,0.5506,0.1503
0.5997,0.5997,0.1293
0.6502,0.6502,0.0999
0.7003,0.7003,0.0913
0.7497,0.7497,0.0734
0.7998,0.7998,0.0732
0.8503,0.8503,0.0496
0.9,0.9,0.0088
0.9483,0.9483,0.0239
