X/C,X/C UR,CP
0.9489,-0.9489,0.0935
0.8993,-0.8993,0.0222
0.85,-0.85,-0.0481
0.8003,-0.8003,-0.1122
0.7489,-0.7489,-0.1742
0.6996,-0.6996,-0.2283
0.6495,-0.6495,-0.2887
0.5994,-0.5994,-0.3467
0.5492,-0.5492,-0.4046
0.4997,-0.4997,-0.4772
0.4496,-0.4496,-0.548
0.3994,-0.3994,-0.6275
0.3499,-0.3499,-0.7167
0.299,-0.299,-0.822
0.2501,-0.2501,-0.9259
0.1994,-0.1994,-1.0861
0.1503,-0.1503,-1.2621
0.1012,-0.1012,-1.5584
0.0763,-0.0763,-1.7854
0.0515,-0.0515,-2.0615
0.0271,-0.0271,-2.6432
0.0135,-0.0135,-3.2038
0,0,-1.7631
0.0122,0.0122,1.0202
0.0251,0.0251,0.9407
0.051,0.051,0.7057
0.0755,0.0755,0.5582
0.1,0.1,0.4537
0.1504,0.1504,0.3117
0.2004,0.2004,0.2286
0.2501,0.2501,0.1791
0.3002,0.3002,0.1394
0.3507,0.3507,0.1107
0.4,0.4,0.092
0.4503,0.4503,0.0824
0.5,0.5,0.0703
0.5506,0.5506,0.0643
0.5997,0.5997,0.0623
0.6502,0.6502,0.0521
0.7003,0.7003,0.0657
0.7497,0.7497,0.0674
0.7998,0.7998,0.078
0.8503,0.8503,0.0819
0.9,0.9,0.0775
0.9483,0.9483,0.1194
