X/C,X/C UR,CP
0.9489,-0.9489,0.0973
0.8993,-0.8993,0.0477
0.85,-0.85,0.0011
0.8003,-0.8003,-0.0371
0.7489,-0.7489,-0.0698
0.6996,-0.6996,-0.0967
0.6495,-0.6495,-0.1278
0.5994,-0.5994,-0.1494
0.5492,-0.5492,-0.1737
0.4997,-0.4997,-0.2065
0.4496,-0.4496,-0.23
0.3994,-0.3994,-0.2606
0.3499,-0.3499,-0.2805
0.299,-0.299,-0.3139
0.2501,-0.2501,-0.3346
0.1994,-0.1994,-0.3618
0.1503,-0.1503,-0.3592
0.1012,-0.1012,-0.3644
0.0763,-0.0763,-0.3605
0.0515,-0.0515,-0.2864
0.0271,-0.0271,-0.1745
0.0135,-0.0135,0.0407
0,0,1.0184
0.0122,0.0122,0.007
0.0251,0.0251,-0.2208
0.051,0.051,-0.3522
0.0755,0.0755,-0.3815
0.1,0.1,-0.3949
0.1504,0.1504,-0.3986
0.2004,0.2004,-0.3854
0.2501,0.2501,-0.355
0.3002,0.3002,-0.3257
0.3507,0.3507,-0.2958
0.4,0.4,-0.2716
0.4503,0.4503,-0.2371
0.5,0.5,-0.2152
0.5506,0.5506,-0.1887
0.5997,0.5997,-0.1585
0.6502,0.6502,-0.14288
0.7003,0.7003,-0.1027
0.7497,0.7497,-0.0731
0.7998,0.7998,-0.0378
0.8503,0.8503,-0.0038
0.9,0.9,0.0279
0.9483,0.9483,0.1008
