X/C,X/C UR,CP
0.9489,-0.9489,0.0877
0.8993,-0.8993,0.0583
0.85,-0.85,0.0267
0.8003,-0.8003,0.0019
0.7489,-0.7489,-0.0213
0.6996,-0.6996,-0.0391
0.6495,-0.6495,-0.0563
0.5994,-0.5994,-0.0687
0.5492,-0.5492,-0.0773
0.4997,-0.4997,-0.096
0.4496,-0.4496,-0.101
0.3994,-0.3994,-0.1071
0.3499,-0.3499,-0.1115
0.299,-0.299,-0.1127
0.2501,-0.2501,-0.1007
0.1994,-0.1994,-0.0864
0.1503,-0.1503,-0.0307
0.1012,-0.1012,0.036
0.0763,-0.0763,0.1087
0.0515,-0.0515,0.2615
0.0271,-0.0271,0.4826
0.0135,-0.0135,0.7407
0,0,0.4584
0.0122,0.0122,-1.2502
0.0251,0.0251,-1.2545
0.051,0.051,-1.1106
0.0755,0.0755,-1.0005
0.1,0.1,-0.933
0.1504,0.1504,-0.8179
0.2004,0.2004,-0.7269
0.2501,0.2501,-0.644
0.3002,0.3002,-0.5715
0.3507,0.3507,-0.5125
0.4,0.4,-0.458
0.4503,0.4503,-0.4037
0.5,0.5,-0.364
0.5506,0.5506,-0.3177
0.5997,0.5997,-0.2736
0.6502,0.6502,-0.2443
0.7003,0.7003,-0.1872
0.7497,0.7497,-0.1423
0.7998,0.7998,-0.0917
0.8503,0.8503,-0.0471
0.9,0.9,-0.0099
0.9483,0.9483,0.0809
