,0.103
0.98,0.115
0.949,0.049
0.8988,-0.082
0.8488,-0.229
0.7992,-0.311
0.749,-0.344
0.6986,-0.35
0.649,-0.393
0.5994,-0.41
0.5492,-0.442
0.4992,-0.492
0.448,-0.541
0.399,-0.574
0.3498,-0.606
0.2988,-0.623
0.27444,-0.639
0.2492,-0.623
0.2244,-0.574
0.1996,-0.606
0.1744,-0.574
0.1492,-0.541
0.1258,-0.508
0.0996,-0.41
0.075,-0.311
0.049,-0.18
0.0294,0.016
0.017,0.246
0.0094,0.459
0.0044,0.705
0.0001,1
0.0001,0.836
0.0086,0.18
0.0092,-0.229
0.0166,-0.41
0.0292,-0.475
0.0494,-0.443
0.0738,-0.377
0.0996,-0.311
0.149,-0.23
0.1908,-0.164
0.249,-0.115
0.2996,-0.065
0.349,-0.033
0.3998,-0.016
0.442,0.016
0.4998,0.018
0.5448,0.049
0.6494,0.082
0.7492,0.098
0.8404,0.115
0.899,0.131
0.9486,0.148
0.9792,0.148
1,0.148
