,0.103
0.98,0.016
0.949,-0.016
0.8988,-0.049
0.8488,-0.115
0.7992,-0.197
0.749,-0.279
0.6986,-0.361
0.649,-0.459
0.5994,-0.557
0.5492,-0.639
0.4992,-0.754
0.448,-0.885
0.399,-0.984
0.3498,-1.131
0.2988,-1.262
0.27444,-1.328
0.2492,-1.377
0.2244,-1.459
0.1996,-1.541
0.1744,-1.623
0.1492,-1.738
0.1258,-1.852
0.0996,-1.984
0.075,-2.131
0.049,-2.344
0.0294,-2.590
0.017,-2.902
0.0094,-3.164
0.0044,-3.328
0.0001,-2.787
0.0001,-1.230
0.0086,0.246
0.0092,0.860
0.0166,0.984
0.0292,0.934
0.0494,0.803
0.0738,0.672
0.0996,0.590
0.149,0.508
0.1908,0.426
0.249,0.410
0.2996,0.377
0.349,0.344
0.3998,0.328
0.442,0.312
0.4998,0.262
0.5448,0.279
0.6494,0.246
0.7492,0.213
0.8404,0.180
0.899,0.148
0.9486,0.098
0.9792,0.066
1,0.033
