,0.103
0.98,0.019
0.949,-0.077
0.8988,-0.125
0.8488,-0.125
0.7992,-0.158
0.749,-0.174
0.6986,-0.206
0.649,-0.238
0.5994,-0.270
0.5492,-0.285
0.4992,-0.318
0.448,-0.334
0.399,-0.350
0.3498,-0.366
0.2988,-0.350
0.27444,-0.350
0.2492,-0.302
0.2244,-0.366
0.1996,-0.270
0.1744,-0.206
0.1492,-0.141
0.1258,-0.077
0.0996,0.035
0.075,0.164
0.049,0.357
0.0294,0.566
0.017,0.791
0.0094,0.936
0.0044,1.000
0.0001,0.678
0.0001,-0.254
0.0086,-1.395
0.0092,-1.621
0.0166,-1.556
0.0292,-1.331
0.0494,-1.122
0.0738,-0.994
0.0996,-0.913
0.149,-0.527
0.1908,-0.350
0.249,-0.270
0.2996,-0.206
0.349,-0.158
0.3998,-0.109
0.442,-0.077
0.4998,-0.061
0.5448,-0.029
0.6494,0.003
0.7492,0.051
0.8404,0.068
0.899,0.100
0.9486,0.100
0.9792,0.116
1,0.068
